id,adult,budget,genres,original_language,original_title,popularity,release_date,revenue,vote_count,vote_average
862,False,30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,Toy Story,21.946943,1995-10-30,373554033.0,5415.0,7.7
8844,False,65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,Jumanji,17.015539,1995-12-15,262797249.0,2413.0,6.9
15602,False,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",en,Grumpier Old Men,11.7129,1995-12-22,0.0,92.0,6.5
31357,False,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Waiting to Exhale,3.859495,1995-12-22,81452156.0,34.0,6.1
11862,False,0,"[{'id': 35, 'name': 'Comedy'}]",en,Father of the Bride Part II,8.387519,1995-02-10,76578911.0,173.0,5.7
949,False,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Heat,17.924927,1995-12-15,187436818.0,1886.0,7.7
11860,False,58000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,Sabrina,6.677277,1995-12-15,0.0,141.0,6.2
45325,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",en,Tom and Huck,2.561161,1995-12-22,0.0,45.0,5.4
9091,False,35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,Sudden Death,5.23158,1995-12-22,64350171.0,174.0,5.5
710,False,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,GoldenEye,14.686036,1995-11-16,352194034.0,1194.0,6.6
9087,False,62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,The American President,6.318445,1995-11-17,107879496.0,199.0,6.5
12110,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",en,Dracula: Dead and Loving It,5.430331,1995-12-22,0.0,210.0,5.7
21032,False,0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",en,Balto,12.140733,1995-12-22,11348324.0,423.0,7.1
10858,False,44000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",en,Nixon,5.092,1995-12-22,13681765.0,72.0,7.1
1408,False,98000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,Cutthroat Island,7.284477,1995-12-22,10017322.0,137.0,5.7
524,False,52000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",en,Casino,10.137389,1995-11-22,116112375.0,1343.0,7.8
4584,False,16500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,Sense and Sensibility,10.673167,1995-12-13,135000000.0,364.0,7.2
5,False,4000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",en,Four Rooms,9.026586,1995-12-09,4300000.0,539.0,6.5
9273,False,30000000,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",en,Ace Ventura: When Nature Calls,8.205448,1995-11-10,212385533.0,1128.0,6.1
11517,False,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",en,Money Train,7.337906,1995-11-21,35431113.0,224.0,5.4
8012,False,30250000,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",en,Get Shorty,12.669608,1995-10-20,115101622.0,305.0,6.4
1710,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,Copycat,10.701801,1995-10-27,0.0,199.0,6.5
