DATE,CUSR0000SS62031
1999-01-01,102.700
1999-02-01,103.700
1999-03-01,104.200
1999-04-01,104.800
1999-05-01,106.400
1999-06-01,107.800
1999-07-01,108.000
1999-08-01,108.400
1999-09-01,109.100
1999-10-01,110.200
1999-11-01,110.900
1999-12-01,112.000
2000-01-01,112.300
2000-02-01,112.000
2000-03-01,113.000
2000-04-01,113.200
2000-05-01,113.600
2000-06-01,114.400
2000-07-01,114.600
2000-08-01,114.900
2000-09-01,115.100
2000-10-01,115.600
2000-11-01,116.000
2000-12-01,116.600
2001-01-01,117.200
2001-02-01,117.700
2001-03-01,117.900
2001-04-01,118.200
2001-05-01,117.900
2001-06-01,117.800
2001-07-01,117.900
2001-08-01,118.900
2001-09-01,119.300
2001-10-01,119.500
2001-11-01,120.300
2001-12-01,119.600
2002-01-01,119.400
2002-02-01,118.300
2002-03-01,119.500
2002-04-01,121.200
2002-05-01,120.900
2002-06-01,121.800
2002-07-01,123.100
2002-08-01,124.000
2002-09-01,123.800
2002-10-01,124.600
2002-11-01,125.200
2002-12-01,125.600
2003-01-01,126.200
2003-02-01,127.100
2003-03-01,127.500
2003-04-01,126.900
2003-05-01,128.600
2003-06-01,128.600
2003-07-01,128.800
2003-08-01,129.200
2003-09-01,129.800
2003-10-01,129.600
2003-11-01,130.100
2003-12-01,130.600
2004-01-01,131.000
2004-02-01,131.500
2004-03-01,131.500
2004-04-01,133.200
2004-05-01,132.300
2004-06-01,132.700
2004-07-01,132.800
2004-08-01,133.100
2004-09-01,133.700
2004-10-01,133.800
2004-11-01,133.400
2004-12-01,133.500
2005-01-01,135.000
2005-02-01,135.500
2005-03-01,135.200
2005-04-01,135.400
2005-05-01,137.000
2005-06-01,138.000
2005-07-01,138.100
2005-08-01,138.000
2005-09-01,137.800
2005-10-01,137.800
2005-11-01,137.900
2005-12-01,138.200
2006-01-01,138.700
2006-02-01,139.000
2006-03-01,139.600
2006-04-01,140.000
2006-05-01,140.700
2006-06-01,142.100
2006-07-01,142.300
2006-08-01,142.400
2006-09-01,143.000
2006-10-01,143.800
2006-11-01,144.500
2006-12-01,145.700
2007-01-01,146.873
2007-02-01,146.788
2007-03-01,147.279
2007-04-01,148.053
2007-05-01,147.807
2007-06-01,146.816
2007-07-01,146.826
2007-08-01,145.781
2007-09-01,146.834
2007-10-01,148.219
2007-11-01,148.806
2007-12-01,148.620
2008-01-01,149.404
2008-02-01,149.380
2008-03-01,149.993
2008-04-01,149.302
2008-05-01,149.781
2008-06-01,149.658
2008-07-01,150.413
2008-08-01,151.822
2008-09-01,152.102
2008-10-01,152.046
2008-11-01,152.615
2008-12-01,152.546
2009-01-01,152.840
2009-02-01,153.583
2009-03-01,153.608
2009-04-01,149.305
2009-05-01,149.799
2009-06-01,153.013
2009-07-01,153.606
2009-08-01,155.574
2009-09-01,154.168
2009-10-01,153.445
2009-11-01,154.075
2009-12-01,153.725
2010-01-01,153.411
2010-02-01,153.701
2010-03-01,153.358
2010-04-01,153.973
2010-05-01,155.024
2010-06-01,156.466
2010-07-01,157.111
2010-08-01,157.372
2010-09-01,156.636
2010-10-01,156.014
2010-11-01,155.761
2010-12-01,156.175
2011-01-01,156.677
2011-02-01,156.882
2011-03-01,156.833
2011-04-01,155.909
2011-05-01,157.739
2011-06-01,157.685
2011-07-01,157.391
2011-08-01,158.099
2011-09-01,157.549
2011-10-01,157.065
2011-11-01,155.496
2011-12-01,156.006
2012-01-01,159.002
2012-02-01,157.399
2012-03-01,157.287
2012-04-01,157.378
2012-05-01,158.141
2012-06-01,161.967
2012-07-01,162.377
2012-08-01,161.244
2012-09-01,160.907
2012-10-01,162.113
2012-11-01,161.144
2012-12-01,161.796
2013-01-01,161.916
2013-02-01,160.993
2013-03-01,160.553
2013-04-01,159.256
2013-05-01,160.510
2013-06-01,161.467
2013-07-01,162.398
2013-08-01,162.856
2013-09-01,162.042
2013-10-01,161.667
2013-11-01,163.660
2013-12-01,163.864
2014-01-01,164.399
2014-02-01,163.979
2014-03-01,164.024
2014-04-01,165.024
2014-05-01,164.717
2014-06-01,165.117
2014-07-01,166.455
2014-08-01,165.932
2014-09-01,164.893
2014-10-01,164.230
2014-11-01,163.637
2014-12-01,164.586
2015-01-01,164.704
2015-02-01,166.217
2015-03-01,168.106
2015-04-01,168.730
2015-05-01,168.981
2015-06-01,168.494
2015-07-01,168.777
2015-08-01,168.727
2015-09-01,168.254
2015-10-01,168.526
2015-11-01,169.546
2015-12-01,171.884
2016-01-01,170.532
2016-02-01,170.635
2016-03-01,174.620
2016-04-01,174.936
2016-05-01,175.455
2016-06-01,176.303
2016-07-01,174.501
2016-08-01,175.020
2016-09-01,175.609
2016-10-01,174.305
2016-11-01,176.012
2016-12-01,176.238
2017-01-01,176.399
2017-02-01,177.391
2017-03-01,176.939
2017-04-01,177.536
2017-05-01,178.410
2017-06-01,178.873
2017-07-01,179.374
2017-08-01,181.172
2017-09-01,180.337
2017-10-01,179.782
2017-11-01,180.805
2017-12-01,180.940
2018-01-01,180.433
2018-02-01,182.198
2018-03-01,182.049
2018-04-01,180.992
2018-05-01,182.291
2018-06-01,184.203
2018-07-01,184.789
2018-08-01,183.542
2018-09-01,183.286
2018-10-01,183.282
2018-11-01,182.109
2018-12-01,182.899
2019-01-01,182.806
2019-02-01,183.353
2019-03-01,184.355
2019-04-01,184.811
2019-05-01,186.395
2019-06-01,185.882
2019-07-01,186.611
2019-08-01,187.345
2019-09-01,186.828
2019-10-01,188.214
2019-11-01,188.090
2019-12-01,187.226
2020-01-01,187.781
2020-02-01,189.097
2020-03-01,190.094
2020-04-01,188.129
2020-05-01,192.183
2020-06-01,193.557
2020-07-01,185.452
2020-08-01,188.142
2020-09-01,187.431
2020-10-01,187.632
2020-11-01,189.093
2020-12-01,189.497
2021-01-01,189.962
2021-02-01,191.180
2021-03-01,193.267
2021-04-01,193.202
2021-05-01,192.026
2021-06-01,193.830
2021-07-01,197.176
2021-08-01,195.903
2021-09-01,195.781
2021-10-01,196.023
2021-11-01,197.515
2021-12-01,198.719
2022-01-01,200.342
2022-02-01,199.950
2022-03-01,202.214
2022-04-01,204.389
2022-05-01,204.410
2022-06-01,206.238
2022-07-01,209.319
2022-08-01,208.127
2022-09-01,206.917
2022-10-01,208.790
2022-11-01,212.133
2022-12-01,211.575
2023-01-01,213.386
2023-02-01,213.034
